,totalImperfection,ruleSpaceID,goodDesignsElim,impact,totalPerfection,numIncorrect,poorDesignsElim,totalDesignsElim,poorPerfection,poornessPercent,numCorrect,goodPerfection,goodnessPercent,poorEliminationPercent
final_B2_Y_Rule_A,False,final_B2_Y_Rule_A,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_P2_Rule_A,False,final_B2_P2_Rule_A,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_B2_P2_Rule_F,False,final_B2_P2_Rule_F,905,-14,False,2296,607,1512,False,69,1700,False,54,40
final_A1_B1_Rule_O,False,final_A1_B1_Rule_O,288,-14,False,2286,0,288,True,100,1710,False,85,0
final_B1_Y_Rule_O,False,final_B1_Y_Rule_O,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_S1_Rule_A,False,final_B1_S1_Rule_A,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_S1_Rule_F,False,final_B1_S1_Rule_F,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_Y_Rule_A,False,final_B1_Y_Rule_A,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_Y_Rule_F,False,final_B1_Y_Rule_F,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_H1_Rule_F,False,final_B1_H1_Rule_F,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_P1_Rule_F,False,final_B1_P1_Rule_F,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_H1_Rule_A,False,final_B1_H1_Rule_A,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_P1_Rule_A,False,final_B1_P1_Rule_A,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_B1_Rule_NI,False,final_B1_Rule_NI,888,-13,False,2262,624,1512,False,68,1734,False,55,41
final_PP1_Rule_M,False,final_PP1_Rule_M,1541,-13,False,2272,1267,2808,False,36,1724,False,22,45
final_B2_H1_Rule_T,False,final_B2_H1_Rule_T,1134,-12,False,2250,882,2016,False,55,1746,False,43,43
final_H1_H2_Rule_O,False,final_H1_H2_Rule_O,301,-10,False,2204,95,396,False,95,1792,False,84,23
final_B1_H1_Rule_O,False,final_B1_H1_Rule_O,216,-10,False,2214,0,216,True,100,1782,False,89,0
